pID|ProjectName|ProjectTeam|ProjectOwner|ProjectDescription|ProjectCategoryId
194|Reviews|Kerryn Risley,Gary Ahrens,Nicole Bola,Bill Wiley|Matthew Chinian|Risk Authoring and Versioning Engine|3
195|Regulation|Gary Ahrens,Nicole Bola,Bill Wiley,Jaidi Mantia|Sam ostendorf|Risk Based Haircut - Risk Based Margin|3
196|Regulation|Nicole Bola,Bill Wiley,Jaidi Mantia,|Jeffrey Brockenbrough|Rulebook Database Management|3
197|Regulation|Jessica Burns,Steven Canedy,MIKE Cohen,Robert Delise|Lawrence Westen|Reference Data Management System|3
198|Regulation|TIMOTHY Murphy,Gerald SIDOTI,Brooks Santangelo,Vilen Gordon|joseph Walker|Reference Data Repository|3
199|Communication|Steven Canedy,MIKE Cohen,Robert Delise,David Chamorro|MARK Saxonis|Report Center - firm request management|3
200|Regulation|Gerald SIDOTI,Brooks Santangelo,Vilen Gordon,Douglas Martinez|Marie Papanikolas|Regulatory Enterprise Query Service Tool|3
201|Extensions|MIKE Cohen,Robert Delise,David Chamorro,Tim Saiz|John Verbit|Regulatory Extensions|3
202|Exam process|Brooks Santangelo,Vilen Gordon,Douglas Martinez,WILMARC Vienot|Christopher Gavin|Move the line definition|3
203|Reviews|Robert Delise,David Chamorro,Tim Saiz,John Chevez|Steven Pazzaglia|SD Elements|3
204|Reviews|Vilen Gordon,Douglas Martinez,WILMARC Vienot,Justin Kapadia|Frank Antonizio|Risk Identification restructuring|3
205|Exam|David Chamorro,Tim Saiz,John Chevez,Robert Basalik|Lance Roberts|Time Tracker for exams|3
206|Exam  |Douglas Martinez,WILMARC Vienot,Justin Kapadia,Douglas Giarratano|Monica Dills|Issue and tip Triage|3
207|Exam Planning|Tim Saiz,John Chevez,Robert Basalik,Randi Linn|James Christopher|Exam Target Management|3
208|Reports|WILMARC Vienot,Justin Kapadia,Douglas Giarratano,Thomas Bennett|Kevin DelPrete|automated reports and document generation |3
209|Email analysis|John Chevez,Robert Basalik,Randi Linn,William Powell|Brent EXUM|email query and analysis tool|3
210|Exam|Justin Kapadia,Douglas Giarratano,Thomas Bennett,JOSEPH Farrington|Erin Hentges|Conducted an exam / examination of variable products in connection with Merrill Lynch. High commission products. Insurance issues.|3
211|Exam Team|Robert Basalik,Randi Linn,William Powell,William Beardsley|Gale SUNG|Exam Team conducted an examination invovling Regulation S-P (Customer Information Protection), involved cyber issues, members of the exam team: series 7, series 9, series 10, series 24, previously worked at large retail broker-dealer firms, large firms.|3
212|Cryptocurrencies Exams|Douglas Giarratano,Thomas Bennett,JOSEPH Farrington,Diane Leisure|Erik Archibald|Conducted examinations and investigations of firms that are involved in cryptocurrencies and crypto-assets, and ICOs / initial coin offerings|3
213|Independent Contractor Broker Dealer Examinations|Randi Linn,William Powell,William Beardsley,Phyllis bailey|Scott Hernandez|conducted examination on independent broker-dealers for structured products and high-yield products|3
214|Variable Annuity Sweep|Thomas Bennett,JOSEPH Farrington,Diane Leisure,ANTHONY Cordier|Donald Coughlin| conducted examinations and sweep of variable annuity issues and variable annuity selling firms |3
215|AML - Anti-money laundering|William Powell,William Beardsley,Phyllis bailey,FRANCES Clark|Christina Bailey|conducted large scale examiantion of Morgan Stanley for money laundering issues involving Puerto Rico bonds|3
216|Puerto Rico Bonds Sweep|JOSEPH Farrington,Diane Leisure,ANTHONY Cordier,George Hays|Philip Hirt|conducted exams, examinations of Puerto Rico based firms and Puerto Rico bonds|3
217|Cyber Breach|William Beardsley,Phyllis bailey,FRANCES Clark,Noelle Eaton|Gregory CIAMBRIELLO|Conducted cyber based review of broker-dealer security policies and Regulation S-P, and information security|3
218|High Yield Securities|Diane Leisure,ANTHONY Cordier,George Hays,JEFFREY chan|Linda Noack|conducted examination and investigation involving high yield securities by UBS Securities a large firm|3
219|Municipal Bond Exam|Phyllis bailey,FRANCES Clark,Noelle Eaton,Douglas Voyles|John FUMERO|conducted a municipal bond exam on TD Ameritrade|3
220|Cause Exam|ANTHONY Cordier,George Hays,JEFFREY chan,Leslie MALONE|Richard Mitchell|conducted cause exam involving money laundering issues involving multiple small firms|3
221|Cycle - Firm Exam|FRANCES Clark,Noelle Eaton,Douglas Voyles,Gregory Madurski|Elaine Lockowitz|conducted firm exam of IFG Securities involving issues regarding suitability and churning|3
222|Firm Exam|George Hays,JEFFREY chan,Leslie MALONE,Katherine Prussman|Heather Manganelli|conducted a firm exam involving issues related to misrepresentation regarding mutual funds|3
223|Branch Exam|Noelle Eaton,Douglas Voyles,Gregory Madurski,Denise Vander Ark|Robert Bohlen|conducted a branch exam on Raymond James involving issues of misrepresentation with mutual funds|3
224|Representative Exam|JEFFREY chan,Leslie MALONE,Katherine Prussman,Ronald Harsche|Dominic GILKER|conducted cause exam on John Doe involving asset backed mortgages involving suitability and misrepresentation issues|3
225|Market Manipulation|Douglas Voyles,Gregory Madurski,Denise Vander Ark,Linda Zimmerman|Timothy DelVecchio| market manipulation and insider trading examination and review involving various large firms Merrill Lynch, UBS, Morgan Stanley|3
226|Options Exam|Leslie MALONE,Katherine Prussman,Ronald Harsche,Samuel Weiss|Roma Vanderbilt|team conducted an options exam of an independent broker-dealer, Cetera|3
227|Options Sweep|Gregory Madurski,Denise Vander Ark,Linda Zimmerman,John Petit|William CLARK|conducted options sweep of broker-dealers in the south region|3
228|Exchange Traded Funds|Katherine Prussman,Ronald Harsche,Samuel Weiss,Adam Phillips|Blaine Manemanus|conducted an exam of exchange traded fund issues concerning Robinhood|3
229|Senior Helpline|Denise Vander Ark,Linda Zimmerman,John Petit,Karen SIMMONS|ADAM Langlois|conducted COMPANY Senior Helpline exam on multiple large firms such as Raymond James, Cetera|3
230|AML|Ronald Harsche,Samuel Weiss,Adam Phillips,Eric Edwards|Russell Theoharis|conducted AML money laundering exam of Deutsche Bank|3
231|Options Exam|Linda Zimmerman,John Petit,Karen SIMMONS,Teresa Rodman|Paul McAfee|conducted an options exam of TD Ameritrade|3
232|Morgan Stanley Firm Exam|Samuel Weiss,Adam Phillips,Eric Edwards,Edward Radford|Laura Hutzelman|conducted firm exam of Morgan Stanley, involving John and Jane, and involving mutual funds and unit investment trusts|3
233|Cyber security firm exam|John Petit,Karen SIMMONS,Teresa Rodman,JOSEPH Ross|Terry Tobin|conduct cybersecurity exam on medium size and large size firm, data breach issues, and Regulation S-P issues|3
234|Mutual Fund Exam|Adam Phillips,Eric Edwards,Edward Radford,William Cottle|Gordon Remmert|firm exam involving mutual funds and a large firm Fidelity |3
235|Regulatory Coordinator|Karen SIMMONS,Teresa Rodman,JOSEPH Ross,Israel DiLeo|Christopher Burrington|regulatory coordinator report on large firm Morgan Stanley|3
236|Surviellance|Eric Edwards,Edward Radford,William Cottle,Ian Cummings|Mark Carroccio|surveillance report on small-firm initiative involving options|3
237|Exam 392147982|Teresa Rodman,JOSEPH Ross,Israel DiLeo,Gerald Otto|Mark Dikdan|examination of market manipulation in Chicago stock exchange|3
238|Exam 210101011|Edward Radford,William Cottle,Ian Cummings,Ruth Mohan|James Fernandes|examination exam involving john doe jane doe chris doe failure to disclose on Form U4 outside business activity OBA|3
239|Exam Related to OBAs|JOSEPH Ross,Israel DiLeo,Gerald Otto,Clayton SHIPPY|Tracy Fitzgerald|conducted exam involving outside business activities OBAs and insider trading for medium size firm|3
240|Fraud Investigation|William Cottle,Ian Cummings,Ruth Mohan,Grant Somogyi|monte Toureau|conducted fraud investigation of potential ponzi scheme in Florida involving a small broker-dealer|3
241|Firm Exam|Israel DiLeo,Gerald Otto,Clayton SHIPPY,Marie Kach|Penny Herskovics|firm exam involving options, exchange traded funds, high-yield debt|3
242|Exam 3023852822|Ian Cummings,Ruth Mohan,Grant Somogyi,Sanjiv Lawson|Troy Curtis|exam involving insider trading |3
243|Senior Helpline Case|Gerald Otto,Clayton SHIPPY,Marie Kach,Matthew Eddy|REBECCA Wilkers|senior helpline case involving vulnerable adult jane doe and variable annuities and firm xyz|3
244|AML Review|Ruth Mohan,Grant Somogyi,Sanjiv Lawson,Hubert Mundigo|Dana Yi|conducted AML review of large broker-dealer involving Venezuela|3
245|Regulation D|Clayton SHIPPY,Marie Kach,Matthew Eddy,Gerald Benjamin|David Scipione|conducted private placement review involving Regulation D|3
246|Offshore Investigation|Grant Somogyi,Sanjiv Lawson,Hubert Mundigo,Patrick Carbone|Scott Smith|conducted investigation involving offshore entities, Regulation S, and market manipulation involving Regulation M|3
247|Fixed Income|Marie Kach,Matthew Eddy,Gerald Benjamin,Karen Thompson|Meighan Pereira| conducted fixed income examination and review involving a small firm|3
248|Mark-Up Disclosure|Sanjiv Lawson,Hubert Mundigo,Patrick Carbone,Daniel Page|COLIN FRASER|conducted a mark-up disclosure exam and review involving a a large firm|3
249|Sales Practice Risk|Matthew Eddy,Gerald Benjamin,Karen Thompson,Robert Ross-Rafii|Carole Wheeler|conducted a firm exam involving sales practice risks involving suitability and senior investors|3
250|Outside Business Activities|Hubert Mundigo,Patrick Carbone,Daniel Page,Deborah Baise|james Huning|conducted exam of outside business activities involving a regional broker-dealer, involved also private securities transactions|3
251|Digital Assets|Gerald Benjamin,Karen Thompson,Robert Ross-Rafii,Richard Tortorici|Dennis Lile|exam involved digital assets, crytpo, crypto currencies, large and medium firms|3
252|Market Risk Exam|Patrick Carbone,Daniel Page,Deborah Baise,Paul Callas|Joseph Maher|firm exam involving market risk and best execution|3
253|Market Manipulation Exam|Karen Thompson,Robert Ross-Rafii,Richard Tortorici,Veronica Christensen|David Sanchez|conducted market manipulation exam involving firm x,y,z with some insider trading involved as well.|3
254|Exam Involving Short Sales|Daniel Page,Deborah Baise,Paul Callas,Mark Tomme|Michael Roth|conducted an exam involving a small broker-dealer involving illegal short-sales|3
255|Credit Risk|Robert Ross-Rafii,Richard Tortorici,Veronica Christensen,Michael BRANNON|Paul Kallio|exam and investigation regarding credit risk and risk exposures FIRNA Rule 4210|3
256|Margin Exam 3942984529|Deborah Baise,Paul Callas,Mark Tomme,Gary Piechowski|Dennis PAUL|conducted an exam involving a small broker-dealer in the use of margin|3
257|Liquidity Issues|Richard Tortorici,Veronica Christensen,Michael BRANNON,John jordan|Derek Ruffolo|risk analysis project involving liquidity issues, net cap, net capitalization|3
258|Investigation 38223428|Paul Callas,Mark Tomme,Gary Piechowski,HERB Grimm|Gregg Gadit|conducted investation of potential fraud in a small firm, also involved insider trading|3
259|Examination 21328282|Veronica Christensen,Michael BRANNON,John jordan,GEORGE Turner|Keith Moreno|exam involving supervision issues and outside business activities.|3
260|Initial Public Offering IPO Exam|Mark Tomme,Gary Piechowski,HERB Grimm,Brant Crichlow|Shelly Covino|exam involving initial public offering of a tech company and Regulation M|3
261|Private Offering Exam 232823128|Michael BRANNON,John jordan,GEORGE Turner,Linda Brillhart|Mohamed Miller|review of private placement offering documents involving firm x,y,z|3
262|Exam 32821822|Gary Piechowski,HERB Grimm,Brant Crichlow,George Day|Matthew Turville|firm exam involving American Depository Receipts (ADRs)|3
263|Exam 372727272|John jordan,GEORGE Turner,Linda Brillhart,J. Janssen|Paul Lozada|exam inovlving asset-backed securities (ABS) and large firm|3
264|Exam 32392292|HERB Grimm,Brant Crichlow,George Day,James Steinhaus|TODD ushyarov|exam of firm and representative involving suitability of asset-backed securities (ABS)|3
265|Options Exam|GEORGE Turner,Linda Brillhart,J. Janssen,Raymond Alvar|Michael Seibt|conduct options exam of a small broker-dealer in California|3
266|Exam 38282822|Brant Crichlow,George Day,James Steinhaus,Joseph Daurio|Mary Levin|conduct firm exam on large broker dealer involving securities lending risk and suitability issues involving senior customers|3
267|Bond Market|Linda Brillhart,J. Janssen,Raymond Alvar,Christopher Smith|Jay Johnson|conducted cause examination and investigation involving bond market participants on the NYSE |3
268|Dark Pools|George Day,James Steinhaus,Joseph Daurio,Thomas Coker|Daniel Hunter|conducted an exam involving large firm use of dark pools and liquidity issues|3
269|Wireblotter Review|J. Janssen,Raymond Alvar,Christopher Smith,Gerald Rodelli|William Jowdy|exam with review large firm wireblotter for fraud or money laundering issues, aml compliance, branch office|3
270|Exam 3838382218|James Steinhaus,Joseph Daurio,Thomas Coker,Joseph Love|Bart O'Neill|options exam involving large firm x,y,z|3
271|Exam 3828282821|Raymond Alvar,Christopher Smith,Gerald Rodelli,Debra Brinkman|Kesia Winters|know your customer issues exam involving also bank secrecy act (BSA) and USA Patriot Act|3
272|Exam 11122212111|Joseph Daurio,Thomas Coker,Joseph Love,roroor DELFIN|Richard Baer|examination of a large firm involving market manipulation and mark to market|3
273|Exam 327817811|Christopher Smith,Gerald Rodelli,Debra Brinkman,D.Flint Maslin|Christopher Stoll| cause exam regarding unsuitability of exchange traded funds, ETFs|3
274|Investigation 28218811|Thomas Coker,Joseph Love,roroor DELFIN,Michelle Fairbanks|Robert Bacon|exam involving reverse churning and suitability|3
275|Risk Monitoring Project|Gerald Rodelli,Debra Brinkman,D.Flint Maslin,Randy Harding|Tony Pappas|investigation and exam involving market manipulation involving a penny stock low priced stock|3
276|Exam 3282181 - Algo|Joseph Love,roroor DELFIN,Michelle Fairbanks,Howard Bdaiwi|ROBERT Azanow|market exam involving algorithmic trading and high speed trading, latency|3
277|Exam 2943043892|Debra Brinkman,D.Flint Maslin,Randy Harding,Jason Luzi|Nathaniel Frejlach|exam involving ANYDAQ and CBOE|3
278|Regulation D|roroor DELFIN,Michelle Fairbanks,Howard Bdaiwi,Constance Daily|Robert Hershman|Exam involving Regulation D and private offerings|3
279|Fraud Surveillance Review|D.Flint Maslin,Randy Harding,Jason Luzi,Jeffrey Dixon|Michael Ehlinger| fraud surveillance review of large firms and NYSE and ANYDAQ|3
280|Pink Sheets|Michelle Fairbanks,Howard Bdaiwi,Constance Daily,Linda Reque|Michael Grimes|examination and investigation involving pink sheets and over the counter (OTC) securities, penny stocks|3
281|COMPANY Complaint Exam 3832828|Randy Harding,Jason Luzi,Jeffrey Dixon,Sean Catmull|Josh Arlia|senior investor complaint involving suitability|3
282|Options Exam|Howard Bdaiwi,Constance Daily,Linda Reque,Franklin WISEMAN|Joseph Bukowsky| options exam regarding etrade [all these data are fake], james doe|3
283|Investment Company Exam 38388383|Jason Luzi,Jeffrey Dixon,Sean Catmull,Brian Wilkinson|JOSEPH Archer|examination that involved a fraudulent investment company set up by a broker-dealer|3
284|Exam 3838383|Constance Daily,Linda Reque,Franklin WISEMAN,Matthew Chinian|CARLOS Chapman|exam involving clearing firm and transfer agent activities|3
285|White Collar Fraud|Jeffrey Dixon,Sean Catmull,Brian Wilkinson,Sam ostendorf|Margaret Cherry|Develop several white collar fraud indicators for exam staff|3
286|FinOp|Linda Reque,Franklin WISEMAN,Matthew Chinian,Jeffrey Brockenbrough|Christopher Wujnovich|FINOP exam, low priced securities, net cap|3
287|Exam 3832811|Sean Catmull,Brian Wilkinson,Sam ostendorf,Lawrence Westen|FREDDIE krikorian|exam related to unauthorized trading in GE securities   |3
288|Exam 383838312|Franklin WISEMAN,Matthew Chinian,Jeffrey Brockenbrough,joseph Walker|Sheila Hagler|investigation and exam involving market manipulation involving a penny stock low priced stock|3
289|Exam 393292191|Brian Wilkinson,Sam ostendorf,Lawrence Westen,MARK Saxonis|Peter CESARONI|exam involving segregation of client assets, credit, fraud and deception.|3
290|Exam 3838211|Matthew Chinian,Jeffrey Brockenbrough,joseph Walker,Marie Papanikolas|Michael Scott|accuracy of regulatory capital issues in this exam, revenue formula, operational risk|3
291|Exam 38281811|Sam ostendorf,Lawrence Westen,MARK Saxonis,John Verbit|REBECCA McGuire|money laundering penny stocks firm x,y,z|3
292|Exam 382181811|Jeffrey Brockenbrough,joseph Walker,Marie Papanikolas,Christopher Gavin|Keven Robinson|variable annuity exam, also involved fixed annuity and insurance issues|3
293|Investment Advisory Exam 3893482181|Lawrence Westen,MARK Saxonis,John Verbit,Steven Pazzaglia|Brian Tenenblatt|exam involved reverse churning and required knowledge of investment advisor issues|3
294|Exam 3982811|joseph Walker,Marie Papanikolas,Christopher Gavin,Frank Antonizio|Kerryn Risley|suitability, concentration, churning|3
295|Enforcement Investigation|MARK Saxonis,John Verbit,Steven Pazzaglia,Lance Roberts|Gary Ahrens|investigation of variable annnuity sales|3
296|Exam 3828121|Marie Papanikolas,Christopher Gavin,Frank Antonizio,Monica Dills|Nicole Bola|variable annuity exam involving large firm xyz|3
297|U.S. Treasury Securities Exam 382811|John Verbit,Steven Pazzaglia,Lance Roberts,James Christopher|Bill Wiley| exam involving u.s. treasuries pricing issues|3
298|Annual Priorities|Christopher Gavin,Frank Antonizio,Monica Dills,Kevin DelPrete|Jaidi Mantia|Annual Priorities reporting|3
299|Retail firms|Steven Pazzaglia,Lance Roberts,James Christopher,Brent EXUM|Judith Angulo|Financial audit review for retail firms|3
300|Market Maker|Frank Antonizio,Monica Dills,Kevin DelPrete,Erin Hentges|Jessica Burns|Floor trader reviews|3
301|Trade Info|Lance Roberts,James Christopher,Brent EXUM,Gale SUNG|TIMOTHY Murphy|AWS Platform encompasses the services supporting trade reporting|4
302|Training|Monica Dills,Kevin DelPrete,Erin Hentges,Erik Archibald|Steven Canedy|Productivity Engineering seminar|4
303|Data Analytics|James Christopher,Brent EXUM,Gale SUNG,Scott Hernandez|Gerald SIDOTI|Advanced Analytics  - Predictive Models DB|4
304|Data Analytics|Kevin DelPrete,Erin Hentges,Erik Archibald,Donald Coughlin|MIKE Cohen|Advanced Analytics - TRR DB|4
305|Customer Accounts|Brent EXUM,Gale SUNG,Scott Hernandez,Christina Bailey|Brooks Santangelo|Automated Customer Account Transfer System|4
306|Identification|Erin Hentges,Erik Archibald,Donald Coughlin,Philip Hirt|Robert Delise|network user access management|4
307|Security Management|Gale SUNG,Scott Hernandez,Christina Bailey,Gregory CIAMBRIELLO|Vilen Gordon|software packaging tools|4
308|Document management|Erik Archibald,Donald Coughlin,Philip Hirt,Linda Noack|David Chamorro|content services platform provides content services to various applications and users with a set of APIs and UI apps|4
309|Data security management|Scott Hernandez,Christina Bailey,Gregory CIAMBRIELLO,John FUMERO|Douglas Martinez|Applications Operations Monitoring Framework|4
310|Data security management|Donald Coughlin,Philip Hirt,Linda Noack,Richard Mitchell|Tim Saiz|Access Management and Governance|4
311|Data security management|Christina Bailey,Gregory CIAMBRIELLO,John FUMERO,Elaine Lockowitz|WILMARC Vienot|Password Reset app|4
312|Development tool|Philip Hirt,Linda Noack,Richard Mitchell,Heather Manganelli|John Chevez|Application Operations AWS Infrastructure and Resiliency Framework. An automation and operations management framework.|4
313|Development tool|Gregory CIAMBRIELLO,John FUMERO,Elaine Lockowitz,Robert Bohlen|Justin Kapadia|Monitoring Platform|4
314|Communication|Linda Noack,Richard Mitchell,Heather Manganelli,Dominic GILKER|Robert Basalik|AppGate Security Server|4
315|Development tool|John FUMERO,Elaine Lockowitz,Robert Bohlen,Timothy DelVecchio|Douglas Giarratano|Application Monitoring|4
316|Data security management|Richard Mitchell,Heather Manganelli,Dominic GILKER,Roma Vanderbilt|Randi Linn|AppScan|4
317|Data security management|Elaine Lockowitz,Robert Bohlen,Timothy DelVecchio,William CLARK|Thomas Bennett|AppSense for Desktop|4
318|Data security management|Heather Manganelli,Dominic GILKER,Roma Vanderbilt,Blaine Manemanus|William Powell|ArchiveSocial|4
319|Communication|Robert Bohlen,Timothy DelVecchio,William CLARK,ADAM Langlois|JOSEPH Farrington|SFTP support|4
320|Development tool|Dominic GILKER,Roma Vanderbilt,Blaine Manemanus,Russell Theoharis|William Beardsley|JFROG Artifactory Pro|4
321|Testing-Quality Mangement|Timothy DelVecchio,William CLARK,ADAM Langlois,Paul McAfee|Diane Leisure|Aspect Quality Management (AQM)|4
322|Testing-Quality Mangement|Roma Vanderbilt,Blaine Manemanus,Russell Theoharis,Laura Hutzelman|Phyllis bailey|Test automation centralization|4
323|Data security management|William CLARK,ADAM Langlois,Paul McAfee,Terry Tobin|ANTHONY Cordier|Assurance Continuity Management|4
324|Data security management|Blaine Manemanus,Russell Theoharis,Laura Hutzelman,Gordon Remmert|FRANCES Clark|AUTHSYN|4
325|Development tool|ADAM Langlois,Paul McAfee,Terry Tobin,Christopher Burrington|George Hays|Audio Video Engineering applications|4
326|Communication|Russell Theoharis,Laura Hutzelman,Gordon Remmert,Mark Carroccio|Noelle Eaton|SIP Gateway (Avaya-Sipera) that routes VoIP calls out to the external voice carrier.|4
327|Communication|Paul McAfee,Terry Tobin,Christopher Burrington,Mark Dikdan|JEFFREY chan|Legacy internal COMPANY telephone call management system.  This is a hybrid Digital/VoIP system that supports voice calling to and from COMPANY. |4
328|Communication|Laura Hutzelman,Gordon Remmert,Mark Carroccio,James Fernandes|Douglas Voyles|Legacy Voicemail system only supporting call center today. (decom in 2018)|4
329|Data security management|Terry Tobin,Christopher Burrington,Mark Dikdan,Tracy Fitzgerald|Leslie MALONE|Anti Virus Scanning Service|4
330|Data security management|Gordon Remmert,Mark Carroccio,James Fernandes,monte Toureau|Gregory Madurski|Run reports in AWS to monitor CI names|4
331|Communication|Christopher Burrington,Mark Dikdan,Tracy Fitzgerald,Penny Herskovics|Katherine Prussman|AxisTV Content Manager|4
332|Testing-Quality Mangement|Mark Carroccio,James Fernandes,monte Toureau,Troy Curtis|Denise Vander Ark|Black Duck Suite|4
333|Data Analytics|Mark Dikdan,Tracy Fitzgerald,Penny Herskovics,REBECCA Wilkers|Ronald Harsche|Big Data Ad Hoc SQL|4
334|Development tool|James Fernandes,monte Toureau,Troy Curtis,Dana Yi|Linda Zimmerman|To enable running Apache Spark into AWS services such as EMR, ECS, EKS, etc... |4
335|Data security management|Tracy Fitzgerald,Penny Herskovics,REBECCA Wilkers,David Scipione|Samuel Weiss|Good Mobile Device Management|4
336|Communication|monte Toureau,Troy Curtis,Dana Yi,Scott Smith|John Petit|Maintains circuits to Bloomberg|4
337|Data Analytics|Penny Herskovics,REBECCA Wilkers,David Scipione,Meighan Pereira|Adam Phillips|Blotter Operations|4
338|Data security management|Troy Curtis,Dana Yi,Scott Smith,COLIN FRASER|Karen SIMMONS|Grant retirees access to online participant website.|4
339|Data Analytics|REBECCA Wilkers,David Scipione,Meighan Pereira,Carole Wheeler|Eric Edwards|Billing Rules and Calculation Engine|4
340|Data security management|Dana Yi,Scott Smith,COLIN FRASER,james Huning|Teresa Rodman|Bright Horizons Backup Care|4
341|Data Analytics|David Scipione,Meighan Pereira,Carole Wheeler,Dennis Lile|Edward Radford|Certification Assessment Support Tool|4
342|Development tool|Scott Smith,COLIN FRASER,james Huning,Joseph Maher|JOSEPH Ross|BDSQL environment built in support of Contract |4
343|Trade Info|Meighan Pereira,Carole Wheeler,Dennis Lile,David Sanchez|William Cottle|Contract  Data API|4
344|Data security management|COLIN FRASER,james Huning,Joseph Maher,Michael Roth|Israel DiLeo|FastOLA implementation for Contract  as an online lifecycle query tool|4
345|Storage|Carole Wheeler,Dennis Lile,David Sanchez,Paul Kallio|Ian Cummings|Shared Metastore implementation for Contract |4
346|Data Analytics|james Huning,Joseph Maher,Michael Roth,Dennis PAUL|Gerald Otto|BIGDATA for Contract |4
347|Storage|Dennis Lile,David Sanchez,Paul Kallio,Derek Ruffolo|Ruth Mohan|Contract  Data Collection|4
348|Development tool|Joseph Maher,Michael Roth,Dennis PAUL,Gregg Gadit|Clayton SHIPPY|Contract  Data Ingest|4
349|DIVER-Contract |David Sanchez,Paul Kallio,Derek Ruffolo,Keith Moreno|Grant Somogyi|DIVER implementation for CAt as online data query tool|4
350|Storage|Michael Roth,Dennis PAUL,Gregg Gadit,Shelly Covino|Marie Kach|Data Management / Herd installation for Contract |4
351|Testing-Quality Mangement|Paul Kallio,Derek Ruffolo,Keith Moreno,Mohamed Miller|Sanjiv Lawson|Contract DQMON does data quality checks for all Contract  market data. |4
352|Event management|Dennis PAUL,Gregg Gadit,Shelly Covino,Matthew Turville|Matthew Eddy|ESMP for Contract |4
353|Access|Derek Ruffolo,Keith Moreno,Mohamed Miller,Paul Lozada|Hubert Mundigo|COMPANY Contract  ETL Project|4
354|Data security management|Gregg Gadit,Shelly Covino,Matthew Turville,TODD ushyarov|Gerald Benjamin|Contract  FIP environment|4
355|Development tool|Keith Moreno,Mohamed Miller,Paul Lozada,Michael Seibt|Patrick Carbone|fileX in Contract  account for file transfers|4
356|Communication|Shelly Covino,Matthew Turville,TODD ushyarov,Mary Levin|Karen Thompson|COMPANY Contract  Linker Project|4
357|Data security management|Mohamed Miller,Paul Lozada,Michael Seibt,Jay Johnson|Daniel Page|This AGS will be used for the new Contract  website.|4
358|DB structure|Matthew Turville,TODD ushyarov,Mary Levin,Daniel Hunter|Robert Ross-Rafii|Build normalization processes for equities data from RSA exchanges in Contract  Program.|4
359|Development tool|Paul Lozada,Michael Seibt,Jay Johnson,William Jowdy|Deborah Baise|Carbon Black|4
360|Data Analytics|TODD ushyarov,Mary Levin,Daniel Hunter,Bart O'Neill|Richard Tortorici|CCCS Blotter Operations|4
361|Testing-Quality Mangement|Michael Seibt,Jay Johnson,William Jowdy,Kesia Winters|Paul Callas|Cloud Compliance Portal |4
362|DB structure|Mary Levin,Daniel Hunter,Bart O'Neill,Richard Baer|Veronica Christensen|Common Data Intake Platform|4
363|Development tool|Jay Johnson,William Jowdy,Kesia Winters,Christopher Stoll|Mark Tomme|Source Code Security Analysis tool|4
364|Communication|Daniel Hunter,Bart O'Neill,Richard Baer,Robert Bacon|Michael BRANNON|SIP Gateway (Cisco-Cube) that routes VoIP calls out to the external voice carrier.|4
365|Communication|William Jowdy,Kesia Winters,Christopher Stoll,Tony Pappas|Gary Piechowski|New internal COMPANY telephone call management system.  |4
366|Communication|Bart O'Neill,Richard Baer,Robert Bacon,ROBERT Azanow|John jordan|The Telepresence Application & Video/Audio Conferencing were combined to form this new application name per SR 120625(3/2018)|4
367|Communication|Kesia Winters,Christopher Stoll,Tony Pappas,Nathaniel Frejlach|HERB Grimm|Cisco Unity Connect is the voicemail component of the phone system that support voicemail for both Avaya and Cisco Call Manager platforms.|4
368|Development tool|Richard Baer,Robert Bacon,ROBERT Azanow,Robert Hershman|GEORGE Turner|Create AWS accounts and setup environment|4
369|Data security management|Christopher Stoll,Tony Pappas,Nathaniel Frejlach,Michael Ehlinger|Brant Crichlow|Cloud Compliance Monitoring Engine|4
370|Data security management|Robert Bacon,ROBERT Azanow,Robert Hershman,Michael Grimes|Linda Brillhart|AWS Token Service|4
371|Testing-Quality Mangement|Tony Pappas,Nathaniel Frejlach,Michael Ehlinger,Josh Arlia|George Day|Performance test tool.|4
372|Practice monitoring|ROBERT Azanow,Robert Hershman,Michael Grimes,Joseph Bukowsky|J. Janssen|Enforcement practices consolidation|4
373|Change control management|Nathaniel Frejlach,Michael Ehlinger,Josh Arlia,JOSEPH Archer|James Steinhaus|CRM implementation  for tracking corporate actions.|4
374|Change control management|Robert Hershman,Michael Grimes,Joseph Bukowsky,CARLOS Chapman|Raymond Alvar| CRM implementation for the office of Government Affairs|4
375|Architecture|Michael Ehlinger,Josh Arlia,JOSEPH Archer,Margaret Cherry|Joseph Daurio|Corporate Systems Data Warehouse in AWS|4
376|COTS tools|Michael Grimes,Joseph Bukowsky,CARLOS Chapman,Christopher Wujnovich|Christopher Smith|Commercial Off the Shelf Tool (COTS) - Miscellaneous|4
377|Communication|Josh Arlia,JOSEPH Archer,Margaret Cherry,FREDDIE krikorian|Thomas Coker|Wiki for Createathon|4
378|Data security management|Joseph Bukowsky,CARLOS Chapman,Christopher Wujnovich,Sheila Hagler|Gerald Rodelli|COMPANY Identity Platform|4
379|Communication|JOSEPH Archer,Margaret Cherry,FREDDIE krikorian,Peter CESARONI|Joseph Love|Firm Gateway Member Interface|4
380|Communication|CARLOS Chapman,Christopher Wujnovich,Sheila Hagler,Michael Scott|Debra Brinkman|Forms Management - periodic surveys|4
